label,timestamp1,timestamp2,FP1_fir,FP2_fir,FP3_fir,FP4_fir,FP5_fir,FP6_fir,FP7_fir,FP8_fir,ToF_fir
stationary,,,260.6153869628906,261.6072692871094,264.14141845703125,261.46649169921875,264.67584228515625,264.09332275390625,259.46319580078125,266.7541809082031,73.117431640625
stationary,,,259.0174560546875,260.5937805175781,261.3311462402344,258.119140625,257.8481750488281,261.3392333984375,257.9844055175781,264.3924560546875,72.76171875
stationary,,,255.2091827392578,257.1272888183594,256.0729064941406,252.76321411132812,251.60614013671875,256.3132629394531,254.1410675048828,258.9330749511719,72.92985534667969
stationary,,,251.26052856445312,252.516845703125,250.12445068359375,247.97084045410156,248.1855926513672,249.9540252685547,249.0506591796875,251.55117797851562,73.34967803955078
stationary,,,248.739990234375,250.0833740234375,245.2998046875,246.09738159179688,247.8466033935547,243.29965209960938,243.95118713378906,243.90740966796875,73.59113311767578
stationary,,,249.4569091796875,252.46644592285156,245.43411254882812,246.9579620361328,249.63504028320312,241.23277282714844,243.4917449951172,241.0429229736328,73.7272720336914
stationary,,,251.94024658203125,257.1407165527344,249.8857421875,249.29757690429688,252.05636596679688,242.9615936279297,247.316162109375,243.18643188476562,73.5453109741211
stationary,,,253.417236328125,259.298095703125,254.82635498046875,250.9056396484375,253.48118591308594,246.40196228027344,251.73179626464844,247.47506713867188,73.37617492675781
stationary,,,255.3397674560547,259.6822204589844,258.2397766113281,253.20066833496094,255.34251403808594,249.443115234375,254.442626953125,251.20928955078125,73.31336212158203
stationary,,,257.20367431640625,259.72857666015625,259.5712890625,255.8238525390625,257.49298095703125,251.48196411132812,255.49339294433594,253.4386444091797,73.00650024414062
stationary,,,258.0390319824219,259.36346435546875,259.1814880371094,257.01922607421875,258.0351257324219,253.3037109375,256.19635009765625,254.8510284423828,72.3775863647461
stationary,,,255.884033203125,256.7451477050781,256.529296875,255.38702392578125,255.8328399658203,253.14137268066406,254.9994354248047,254.0522918701172,71.57413482666016
