label,timestamp1,timestamp2,FP1_variance,FP1_min,FP1_max,FP2_variance,FP2_min,FP2_max,FP3_variance,FP3_min,FP3_max,FP4_variance,FP4_min,FP4_max,FP5_variance,FP5_min,FP5_max,FP6_variance,FP6_min,FP6_max,FP7_variance,FP7_min,FP7_max,FP8_variance,FP8_min,FP8_max
suboptimal-left-centered,,,3.0936009883880615,176.0,185.0,574572.3125,423.0,3970.0,3170723.25,190.0,4062.0,1521801.875,183.0,3601.0,1241968.75,201.0,3646.0,199211.578125,1888.0,3790.0,1636613.125,209.0,3948.0,2076724.0,182.0,3657.0
suboptimal-left-centered,,,3.090001106262207,176.0,185.0,576779.8125,423.0,3970.0,3150463.0,190.0,4062.0,1565827.875,183.0,3601.0,1249872.375,201.0,3646.0,201165.15625,1888.0,3790.0,1575351.875,210.0,3948.0,2103893.0,182.0,3657.0
suboptimal-left-centered,,,3.0778942108154297,176.0,185.0,578361.8125,423.0,3970.0,3127169.25,190.0,4062.0,1609844.0,183.0,3601.0,1257967.875,201.0,3646.0,203181.5,1888.0,3790.0,1511669.0,210.0,3951.0,2128822.25,183.0,3657.0
suboptimal-left-centered,,,3.0656039714813232,176.0,185.0,579154.6875,423.0,3970.0,3100786.5,190.0,4062.0,1652117.125,183.0,3601.0,1263043.625,201.0,3646.0,204763.0,1888.0,3790.0,1445602.5,210.0,3958.0,2151258.5,183.0,3657.0
suboptimal-left-centered,,,3.0531039237976074,176.0,185.0,579101.625,423.0,3970.0,3071181.75,191.0,4062.0,1689682.375,183.0,3601.0,1259921.375,201.0,3646.0,205561.296875,1888.0,3790.0,1377055.5,210.0,3963.0,2170262.0,183.0,3657.0
suboptimal-left-centered,,,3.0531041622161865,176.0,185.0,578108.8125,423.0,3970.0,3038363.0,191.0,4062.0,1720010.875,183.0,3601.0,1255379.375,201.0,3646.0,206108.65625,1888.0,3790.0,1305650.375,210.0,3963.0,2185063.0,183.0,3657.0
suboptimal-left-centered,,,3.0531041622161865,176.0,185.0,576028.9375,423.0,3970.0,3002366.5,191.0,4062.0,1740295.875,183.0,3601.0,1253576.125,201.0,3646.0,206629.484375,1888.0,3790.0,1231109.25,210.0,3963.0,2194577.5,183.0,3657.0
suboptimal-left-centered,,,3.0531041622161865,176.0,185.0,572898.3125,423.0,3970.0,2962936.0,192.0,4062.0,1738054.25,183.0,3601.0,1253552.875,201.0,3646.0,207047.234375,1888.0,3790.0,1153422.0,210.0,3963.0,2197906.5,183.0,3657.0
suboptimal-left-centered,,,3.0531041622161865,176.0,185.0,569214.1875,423.0,3970.0,2920115.25,195.0,4062.0,1729249.625,184.0,3601.0,1253818.125,201.0,3646.0,207278.78125,1888.0,3790.0,1072591.25,212.0,3963.0,2195533.5,183.0,3657.0
suboptimal-left-centered,,,3.085604190826416,176.0,185.0,566327.125,423.0,3970.0,2874139.5,200.0,4062.0,1720488.0,184.0,3601.0,1253814.5,201.0,3646.0,207373.4375,1888.0,3790.0,988891.6875,216.0,3963.0,2189795.0,183.0,3657.0
